Pergunta;Resposta esperada;GPT 4o;GPT 4o (s);DeepSeek R1;DeepSeek R1 (s);LLama 4 Scout;LLama 4 Scout (s);Gemini 2.0 Flash;Gemini 2.0 Flash (s);Gemma 3n;Gemma 3n (s);Phy 4;Phy 4 (s);Qwen3-235b;Qwen3-235b (s)
Posso cursar disciplinas de outros cursos?;Sim. Ao ser aprovado, essas disciplinas ficarão registradas no histórico como enriquecimento curricular. As unidades curriculares cursadas em outros cursos da UTFPR ou em instituições com as quais exista acordo de mobilidade acadêmica e/ou de dupla diplom;Não, o aluno não poderá matricular-se em disciplinas/unidades curriculares cujos horários das turmas ofertadas sejam sobrepostos.;1,34;"Não, os documentos fornecidos não mencionam a possibilidade de cursar disciplinas de outros cursos. Eles tratam exclusivamente de:  
- Adiantamento de disciplinas **do próprio currículo** (Art. 14);  
- Cumprimento de pré-requisitos dentro do mesmo curso (§5º);  
- Restrição a sobreposição de horários (§6º).  

Nenhuma cláusula autoriza matrícula em disciplinas externas ao currículo do aluno.";12,13;Não há informações nos documentos fornecidos que permitam ou proíbam explicitamente cursar disciplinas de outros cursos. Os documentos tratam de regras de matrícula, pré-requisitos, frequência e adiantamento de disciplinas dentro do mesmo curso.;1,29;"O aluno poderá adiantar disciplinas/unidades curriculares de seu currículo previstas para os períodos posteriores ao que se encontra, sendo concedido o adiantamento de até 2 períodos posteriores ao período do aluno, ou de até 1 período posterior ao período do aluno, em cursos anuais, em andamento.
";2,21;Não há informações nos documentos sobre a possibilidade de cursar disciplinas de outros cursos.;1,72;O documento não fornece informações específicas sobre a possibilidade de cursar disciplinas de outros cursos.;2,57;Não, o regulamento não permite que o aluno matricule-se em disciplinas de outros cursos. As regras mencionadas referem-se a disciplinas do próprio currículo do aluno, incluindo dependências, pré-requisitos e adiantamento de períodos.;3,84
Como me matriculo em disciplinas de outros cursos?;Durante o período de inclusão da matrícula de veteranos.;A matrícula em disciplinas/unidades curriculares de outros cursos, como disciplinas/unidades curriculares de enriquecimento curricular, deve ser realizada durante o processo de matrícula, de acordo com as instruções de matrícula. Os alunos estarão dispensados da exigência de cumprimento dos pré-requisitos, quando existirem.;2,57;"Para se matricular em disciplinas de outros cursos:  
1. Realize a matrícula **durante o processo regular de matrícula** estabelecido pela instituição.  
2. Siga as **instruções de matrícula** publicadas pela Pró-Reitoria de Graduação e Educação Profissional a cada período letivo.  
3. Verifique as disciplinas ofertadas e turmas disponíveis nos editais específicos do período.  

(Observação: Para disciplinas de enriquecimento curricular, a dispensa de pré-requisitos é permitida.)";15,4;A matrícula em disciplinas/unidades curriculares cursadas como disciplinas/unidades curriculares de enriquecimento curricular deverá ser realizada durante o processo de matrícula, de acordo com as instruções de matrícula, e os alunos estarão dispensados da exigência de cumprimento dos pré-requisitos, quando existirem.;2,05;"A matrícula em disciplinas/unidades curriculares cursadas como disciplinas/unidades curriculares de enriquecimento curricular deverá ser realizada durante o processo de matrícula, de acordo com as instruções de matrícula, e os alunos estarão dispensados da exigência de cumprimento dos pré-requisitos, quando existirem.
";2,53;"
A matrícula em disciplinas/unidades curriculares cursadas como disciplinas/unidades curriculares de enriquecimento curricular deverá ser realizada durante o processo de matrícula, de acordo com as instruções de matrícula.";3,67;A matrícula em disciplinas de outro curso, quando cursadas como disciplinas de enriquecimento curricular, deve ser realizada durante o processo de matrícula de acordo com as instruções de matrícula. Para essas disciplinas, os alunos estarão dispensados da exigência de cumprimento dos pré-requisitos, quando existirem.;3,71;Para se matricular em disciplinas de outros cursos, você deve seguir o processo de matrícula conforme as instruções de matrícula vigentes, considerando as disciplinas/unidades curriculares convalidadas, especialmente se ingressou por meio de editais públicos específicos. Além disso, a matrícula em disciplinas de enriquecimento curricular pode ser realizada durante o processo de matrícula, desde que siga as orientações estabelecidas.;5,45
Qual é o número mínimo de avaliações de uma disciplina?;O número de avaliações, não menor do que 2 (duas), suas modalidades e critérios devem ser explicitados no Planejamento de Aulas da unidade curricular.;Deverão existir pelo menos três avaliações presenciais nas disciplinas/unidades curriculares.;1,36;O número mínimo de avaliações não é especificado para disciplinas presenciais, devendo ser definido no Plano de Ensino. Para disciplinas semipresenciais, são exigidas pelo menos três avaliações presenciais.;14,16;O número mínimo de avaliações de uma disciplina é 3 (três) avaliações presenciais.;2,27;"Em disciplinas semipresenciais, devem existir pelo menos três avaliações presenciais. O número de avaliações, suas modalidades e critérios devem ser explicitados no Plano de Ensino da disciplina/unidade curricular.
";2,46;"
Pelo menos três avaliações presenciais.";2,59;O documento não especifica o número mínimo de avaliações para uma disciplina. Está indicado que o número de avaliações, suas modalidades e critérios deve ser explicitado no Plano de Ensino da disciplina, mas não há um número específico mencionado nos documentos fornecidos.;3,79;O número mínimo de avaliações de uma disciplina é três.;2,64
Posso pedir exame de suficiência de qualquer disciplina?;O exame se aplica a todas as disciplinas exceto ao estágio curricular obrigatório, ao trabalho de conclusão de curso, às atividades complementares e às atividades de extensão.;Você pode pedir exame de suficiência para disciplinas/unidades curriculares que julgar possuir conhecimentos, desde que respeite o prazo estabelecido em Calendário Acadêmico.;1,73;Não, o exame de suficiência não pode ser solicitado para qualquer disciplina. Conforme os documentos, ele **não se aplica ao Estágio Curricular Obrigatório, ao Trabalho de Conclusão de Curso e às Atividades Complementares** (§6º do Art. 38). Para as demais disciplinas, o requerimento está sujeito à análise documental pela Coordenação de Curso e ao prazo estabelecido no Calendário Acadêmico.;11,2;Não, o exame de suficiência não se aplica ao Estágio Curricular Obrigatório, ao Trabalho de Conclusão de Curso e às Atividades Complementares. Além disso, você não poderá realizar o exame de suficiência se já tiver reprovado na disciplina/unidade curricular requerida.;5,1;Sim, o aluno pode requerer exame de suficiência para disciplinas/unidades curriculares que julgar possuir conhecimentos, no prazo estabelecido em Calendário Acadêmico.;2,66;Não poderá realizar o exame de suficiência o aluno que já tenha reprovado na disciplina/unidade curricular requerida e o exame de suficiência não se aplica ao Estágio Curricular Obrigatório, ao Trabalho de Conclusão de Curso e as Atividades Complementares.;4,05;Não, você só poderá requerer o exame de suficiência para disciplinas em que considere possuir os conhecimentos e a disciplina não deverá ter sido aprovada na avaliação regular. Além disso, o exame de suficiência não se aplica ao Estágio Curricular Obrigatório, ao Trabalho de Conclusão de Curso e às Atividades Complementares.;4,24;Não, o exame de suficiência não se aplica ao Estágio Curricular Obrigatório, ao Trabalho de Conclusão de Curso e às Atividades Complementares. Além disso, o aluno não poderá realizá-lo se já tiver reprovado na disciplina/unidade curricular requerida.;3,04
Posso pedir o exame de suficiência sem estar matriculado na disciplina?;Sim.;Não, o aluno deve estar matriculado na disciplina para solicitar o exame de suficiência.;1,94;"Sim, pode pedir o exame de suficiência sem estar matriculado na disciplina, desde que cumpra os seguintes requisitos:  
1. Requerer o exame dentro do prazo estabelecido pelo Calendário Acadêmico (Art. 38);  
2. Comprovar seus conhecimentos através de documentação específica, previamente analisada pela Coordenação do Curso (Art. 38, §1°);  
3. Não ter reprovado anteriormente na disciplina requerida (Art. 39, §2°);  
4. Não ter solicitado o exame para essa mesma disciplina antes (Art. 39, §3°).  ";13,7;Não há informações que permitam afirmar se é possível ou não pedir exame de suficiência sem estar matriculado na disciplina. Entretanto, os documentos dizem que o aluno pode requerer exame de suficiência para disciplinas/unidades curriculares que julgar possuir conhecimentos.;2,43;"Sim, o aluno pode requerer exame de suficiência para disciplinas/unidades curriculares que julgar possuir conhecimentos, no prazo estabelecido em Calendário Acadêmico. Para requerer o exame, o aluno deverá comprovar o seu conhecimento através de documentação específica, a ser previamente analisada pela Coordenação de Curso.
";2,43;O aluno poderá requerer exame de suficiência para disciplinas/unidades curriculares que julgar possuir conhecimentos.;2,83;O documento não especifica se você pode pedir o exame de suficiência sem estar matriculado na disciplina. No entanto, a necessidade de comprovar conhecimento através de documentação específica e a realização do pedido em um prazo estabelecido sugere que uma relação formal com a disciplina, como a matrícula, pode ser necessária. Recomenda-se verificar diretamente com a Coordenação de Curso para obter informações específicas.;4,84;Sim, você pode pedir o exame de suficiência sem estar matriculado na disciplina, desde que comprove possuir conhecimentos na área e a documentação seja aprovada pela Coordenação de Curso.;2,55
O que são turmas intensivas?;"Turma em regime intensivo é aquela ofertada com um número máximo de 5 (cinco) aulas diárias alocadas em cinco dias da semana;";Turmas intensivas são aquelas ofertadas com um número máximo de 5 (cinco) aulas diárias alocadas em cinco dias da semana.;1,68;Turmas intensivas são aquelas ofertadas com um número máximo de 5 (cinco) aulas diárias alocadas em cinco dias da semana.;9,79;Turmas intensivas são aquelas oferecidas com um número máximo de 5 (cinco) aulas diárias alocadas em cinco dias da semana.;2,03;"Entende-se por turma em regime intensivo aquela ofertada com um número máximo de 5 (cinco) aulas diárias alocadas em cinco dias da semana.
";2,31;Turmas em regime intensivo são aquelas ofertadas com um número máximo de 5 (cinco) aulas diárias alocadas em cinco dias da semana.;1,93;Entende-se por turma em regime intensivo aquela ofertada com um número máximo de 5 (cinco) aulas diárias alocadas em cinco dias da semana. As turmas em regime intensivo possuirão os mesmos conteúdos programáticos e a mesma carga horária daquelas ofertadas em período letivo regular. As atividades em regime intensivo devem ser previamente adequadas no Plano de Ensino pela professora ou professor que a ministrará, e, a critério da Diretoria de Graduação e Educação Profissional, a carga horária diária poderá ser ampliada, exclusivamente para ministrantes externos ao câmpus.;6,63;Turmas em regime intensivo são aquelas ofertadas com um número máximo de 5 (cinco) aulas diárias alocadas em cinco dias da semana.;2,88
O que é turma de férias?;Turmas de férias é aquela ofertada em período não coincidente com o período letivo regular da UTFPR, sempre que esse período for igual ou maior que 60 (sessenta) dias.;Turma de férias é aquela ofertada em período não coincidente com o período letivo regular da UTFPR, sempre que esse período for igual ou maior que 60 (sessenta) dias.;1,99;Turma de férias é aquela ofertada em período não coincidente com o período letivo regular da UTFPR, sempre que esse período for igual ou maior que 60 (sessenta) dias.;10,86;Turma de férias é aquela ofertada em período não coincidente com o período letivo regular da UTFPR, sempre que esse período for igual ou maior que 60 (sessenta) dias.;2,46;"Turmas de férias são aquelas ofertadas em período não coincidente com o período letivo regular da UTFPR, sempre que esse período for igual ou maior que 60 (sessenta) dias.
";2,22;aquelas ofertadas em período não coincidente com o período letivo regular da UTFPR, sempre que esse período for igual ou maior que 60 (sessenta) dias.;2,41;Turmas de férias são aquelas ofertadas em período não coincidente com o período letivo regular da UTFPR, sempre que esse período for igual ou maior que 60 (sessenta) dias.;3,01;Turma de férias é aquela ofertada em período não coincidente com o período letivo regular da UTFPR, desde que esse período seja igual ou maior que 60 (sessenta) dias.;3,6
O que é o trancamento do curso?;Entende-se por trancamento de matrícula no curso a interrupção total das atividades escolares a pedido do estudante.;O trancamento de matrícula no curso é a interrupção total das atividades escolares a pedido do aluno.;1,81;Trancamento de matrícula no curso é a interrupção total das atividades escolares a pedido do aluno ou estudante.;7,97;Entende-se por trancamento de matrícula no curso a interrupção total das atividades escolares a pedido do aluno ou do estudante.;2,7;"Entende-se por trancamento de matrícula no curso a interrupção total das atividades escolares a pedido do aluno.
";2,65;Interrupção total das atividades escolares a pedido do aluno.;2,75;Trancamento de matrícula no curso é a interrupção total das atividades escolares a pedido do aluno.;10,73;O trancamento de matrícula no curso é a interrupção total das atividades escolares a pedido do aluno ou estudante.;2,37
Posso trancar no primeiro período?;"O trancamento de matrícula não é permitido no período em que o estudante houver ingressado no curso, independente da modalidade de ingresso, salvo nos seguintes casos:
I - por motivo de doença do próprio estudante, devidamente comprovada, com posterior ho";Não, o trancamento de matrícula não é permitido no período em que o estudante houver ingressado no curso, salvo em casos específicos.;1,8;"Não, exceto nos seguintes casos específicos:  
- Doença do estudante (comprovada e homologada pelo NUAPE);  
- Doença de cônjuge, companheiro, filho ou parente em linha reta até 1º grau (com comprovação e homologação pelo NUAPE);  
- Serviço militar;  
- Ingresso após 25% do período letivo ter sido concluído;  
- Outros motivos de força maior a critério da DIRGRAD.";11,99;Não, salvo em casos específicos: doença do próprio estudante ou de familiares, serviço militar, ingresso após mais de 25% das aulas ou outros motivos de força maior.;2,01;"O trancamento de matrícula não é permitido no período em que o estudante houver ingressado no curso, independente da modalidade de ingresso, salvo nos seguintes casos: por motivo de doença do próprio estudante, devidamente comprovada, com posterior homologação pelo NUAPE; por motivo de doença do cônjuge, companheiro, ?lho ou de parente em linha reta, até o primeiro grau, no caso da assistência direta do estudante ser indispensável, devidamente comprovada, com posterior homologação pelo NUAPE; para o serviço militar; por ingresso do estudante após transcorrido mais de 25% (vinte e cinco por cento) do total de aulas do período letivo; por outros motivos de força maior não elencados anteriormente, a critério da DIRGRAD.
";2,72;"

O trancamento de matrícula não é permitido no período em que o estudante houver ingressado no curso, independente da modalidade de ingresso, salvo em casos específicos. Em um dos documentos, consta que o trancamento só poderá ocorrer a partir da segunda matrícula, exceto em casos previstos em lei ou por motivo de força maior.";7,07;De acordo com o Documento 3, o trancamento de matrícula no curso somente poderá ocorrer a partir da segunda matrícula, exceto por motivo de força maior ou conforme previsto em lei. Portanto, não é permitido trancar no primeiro período.;1,67;"Não, o trancamento de matrícula não é permitido no primeiro período em que o estudante ingressa no curso, exceto em casos específicos como:  
I - doença do próprio estudante ou de parente em linha reta (cônjuge, companheiro, filho) com necessidade de assistência direta, devidamente comprovados;  
II - serviço militar;  
III - ingresso ocorrido após mais de 25% das aulas do período letivo;  
IV - outros motivos de força maior a critério da DIRGRAD.";7,18
O que é o cancelamento de disciplina?;Entende-se por cancelamento de matrícula em unidades curriculares a interrupção parcial das atividades acadêmicas a pedido do estudante.;O cancelamento de matrícula em disciplinas/unidades curriculares é a interrupção parcial das atividades acadêmicas a pedido do aluno.;1,73;Cancelamento de matrícula em disciplinas é a interrupção parcial das atividades acadêmicas a pedido do aluno.;11,08;Entende-se por cancelamento de matrícula em disciplinas/unidades curriculares a interrupção parcial das atividades acadêmicas a pedido do aluno.;2,1;"Entende-se por cancelamento de matrícula em disciplinas/unidades curriculares a interrupção parcial das atividades acadêmicas a pedido do aluno.
";2,06;A interrupção parcial das atividades acadêmicas a pedido do aluno.;1,73;O cancelamento de matrícula em disciplinas/unidades curriculares é a interrupção parcial das atividades acadêmicas a pedido do aluno.;2,77;O cancelamento de disciplina ocorre quando um aluno desiste de cursar uma disciplina durante o período letivo, interrompendo parcialmente suas atividades acadêmicas a pedido do próprio aluno.;2,12
Posso cancelar disciplinas?;Será permitido o cancelamento em cada unidade curricular, uma única vez, até o prazo limite definido no calendário acadêmico da UTFPR. ;Sim, é possível cancelar disciplinas a pedido do aluno, mas ele deverá cursar, no mínimo, uma disciplina no período letivo.;2,16;"Sim, é possível cancelar disciplinas mediante solicitação do aluno, conforme definido como ""interrupção parcial das atividades acadêmicas a pedido do aluno"". Entretanto, em qualquer situação de cancelamento, o aluno deve permanecer matriculado em pelo menos uma disciplina no período letivo.";14,32;Sim, é possível cancelar disciplinas. O cancelamento de matrícula em disciplinas/unidades curriculares é entendido como a interrupção parcial das atividades acadêmicas a pedido do aluno. No entanto, em qualquer situação de cancelamento de matrícula, o aluno deverá cursar, no mínimo, uma disciplina no período letivo. Além disso, existem prazos e procedimentos específicos para solicitar o cancelamento, como por exemplo, em até 15 dias consecutivos após o deferimento da solicitação em casos de atividades compensatórias por motivos religiosos.;2,05;"Sim, é assegurado ao estudante, em até 15 (quinze) dias consecutivos após o deferimento da solicitação, o direito de solicitar e ter concedido o cancelamento da disciplina em que estiver matriculado. Em qualquer situação de cancelamento de matrícula em disciplinas/unidades curriculares, o aluno deverá cursar, no mínimo, uma disciplina no período letivo.
";2,68;Sim, o aluno pode solicitar o cancelamento de matrícula em disciplinas, desde que curse pelo menos uma disciplina no período letivo.;4,81;Entende-se por cancelamento de matrícula em disciplinas/unidades curriculares a interrupção parcial das atividades acadêmicas a pedido do aluno. Em qualquer situação de cancelamento de matrícula em disciplinas/unidades curriculares, o aluno deverá cursar, no mínimo, uma disciplina no período letivo. Além disso, na impossibilidade do desenvolvimento de atividades previstas, é assegurado ao estudante o direito de solicitar e ter concedido o cancelamento da disciplina em que estiver matriculado.;3,05;Sim, você pode cancelar disciplinas mediante solicitação própria ou em situações de força maior, desde que cumpra a carga mínima de, no mínimo, uma disciplina no período letivo. O cancelamento também pode ser solicitado em casos específicos, como ausências por motivos religiosos, desde que atendidas as condições definidas.;6,58
Como eu cancelo uma disciplina?; O cancelamento de matrícula será feito pelo estudante de forma automática, exceto para o estudante ingressante, pelo sistema acadêmico até o prazo limite definido no calendário acadêmico da UTFPR, possibilitando realocação da vaga remanescente em process;Para cancelar uma disciplina, você deve solicitar o cancelamento em até 15 dias consecutivos após o deferimento da solicitação de atividades acompanhadas, e terá que ter cursado, no mínimo, uma disciplina no período letivo.;2,44;"Para cancelar uma disciplina, você deve solicitar formalmente o ""cancelamento de matrícula"", que consiste na interrupção parcial das atividades acadêmicas a pedido do aluno. Após um afastamento justificado, se não for possível estabelecer atividades compensatórias, você tem o direito de solicitar o cancelamento em até 15 dias consecutivos após o deferimento do pedido inicial.";16,31;De acordo com os documentos fornecidos, o cancelamento de matrícula em disciplinas/unidades curriculares é entendido como a interrupção parcial das atividades acadêmicas a pedido do aluno. No entanto, para realizar esse cancelamento, não há informações detalhadas sobre o procedimento, mas em caso de afastamento do estudante, é assegurado ao estudante o direito de solicitar e ter concedido o cancelamento da disciplina em que estiver matriculado em até 15 dias consecutivos após o deferimento da solicitação.;4,09;"É assegurado ao estudante, em até 15 (quinze) dias consecutivos após o deferimento da solicitação, o direito de solicitar e ter concedido o cancelamento da disciplina em que estiver matriculado.
";2,26;"a interrupção parcial das atividades acadêmicas a pedido do aluno.
Na impossibilidade do desenvolvimento de atividades previstas, é assegurado ao estudante, em até 15 dias consecutivos após o deferimento da solicitação, o direito de solicitar e ter concedido o cancelamento da disciplina em que estiver matriculado.";2,34;Entende-se por cancelamento de matrícula em disciplinas/unidades curriculares a interrupção parcial das atividades acadêmicas a pedido do aluno. Na impossibilidade do desenvolvimento de atividades previstas no artigo, o estudante pode solicitar e ter concedido o cancelamento da disciplina em que estiver matriculado, em até 15 dias consecutivos após o deferimento da solicitação.;2,25;Para cancelar uma disciplina, você deve solicitar a interrupção parcial das atividades acadêmicas à coordenação do curso, mantendo ao menos uma disciplina cursada no período letivo. Caso seja deferida a solicitação de atividades acompanhadas (como reposição), o cancelamento da disciplina pode ser requerido dentro de 15 dias consecutivos após o deferimento. A coordenação encaminhará a comunicação aos professores envolvidos e registrará a alteração.;14,88
Qual o prazo máximo para conclusão de curso?;"Os prazos máximos para conclusão dos cursos de graduação são:
I - 18 (dezoito) meses para os cursos com duração de 9 (nove) ou mais semestres;
II - 15 (quinze) semestres para os cursos com duração de 8 (oito) semestres;
III - 14 (quatorze) semestres para ";"O prazo máximo para conclusão do curso é: 
- Para cursos com duração de 5 anos: 9 anos ou 18 semestres. 
- Para cursos com duração de 4 anos: 7 anos ou 14 semestres.";2,16;"O prazo máximo para conclusão de curso varia conforme o ano de ingresso do aluno:

*   Para ingressantes **anteriores a 2007**:
    *   Cursos de 5 anos: 9 anos ou 18 semestres.
    *   Cursos de 4 anos: 7 anos ou 14 semestres.
*   Para ingressantes **do 1º semestre de 2007 até o 2º semestre de 2010**:
    *   Cursos de 5 anos: 8 anos ou 16 semestres.
    *   Cursos de 4 anos: 6 anos ou 12 semestres.";16,37;"Para os alunos dos Cursos de Bacharelados e Licenciaturas com ingresso anterior a 2007: 
- Cursos com duração de 5 anos: 9 anos ou 18 semestres;
- Cursos com duração de 4 anos: 7 anos ou 14 semestres.

Para os alunos dos Cursos de Bacharelados e Licenciaturas com ingresso do 1º semestre de 2007 até o 2º semestre de 2010: 
- Cursos com duração de 5 anos: 8 anos ou 16 semestres;
- Cursos com duração de 4 anos: 6 anos ou 12 semestres.";3,06;"Para alunos de cursos de bacharelado e licenciatura com ingresso anterior a 2007:
*   Cursos com duração de 5 anos: 9 anos ou 18 semestres.
*   Cursos com duração de 4 anos: 7 anos ou 14 semestres.

Para alunos de cursos de bacharelado e licenciatura com ingresso do 1º semestre de 2007 até o 2º semestre de 2010:
*   Cursos com duração de 5 anos: 8 anos ou 16 semestres.
*   Cursos com duração de 4 anos: 6 anos ou 12 semestres.";2,91;"

Para alunos com ingresso anterior a 2007:
I. Cursos com duração de 5 anos – 9 anos ou 18 semestres;
II. Cursos com duração de 4 anos – 7 anos ou 14 semestres.

Para alunos com ingresso entre o 1º semestre de 2007 e o 2º semestre de 2010:
I. Cursos com duração de 5 anos – 8 anos ou 16 semestres;
II. Cursos com duração de 4 anos – 6 anos ou 12 semestres.";10,65;"Para os alunos dos Cursos de Bacharelados e Licenciatura com ingresso anterior a 2007:

- Cursos com duração de 5 (cinco) anos: 9 (nove) anos ou 18 (dezoito) semestres.
- Cursos com duração de 4 (quatro) anos: 7 (sete) anos ou 14 (quatorze) semestres.

Para os alunos com ingresso do 1º semestre de 2007 até o 2º semestre de 2010:

- Cursos com duração de 5 (cinco) anos: 8 (oito) anos ou 16 (dezesseis) semestres.
- Cursos com duração de 4 (quatro) anos: 6 (seis) anos ou 12 (doze) semestres.";4,38;O prazo máximo para conclusão do curso é de 9 anos (18 semestres) para cursos de 5 anos e 7 anos (14 semestres) para cursos de 4 anos, aplicável a alunos dos Cursos de Bacharelados e Licenciaturas com ingresso anterior a 2007.;13,26
O que é risco de jubilamento?;Considera-se em risco de jubilamento o estudante para o qual falta um período letivo para atingir o prazo máximo para conclusão de seu curso.;Risco de jubilamento é a situação do estudante que, faltando um período letivo para atingir o prazo máximo para a conclusão do seu curso, tem sua matrícula bloqueada e deve comparecer à DIRGRAD para assinar um termo de ciência sobre essa situação e os componentes curriculares que faltam.;2,58;Risco de jubilamento é a situação do estudante para o qual **falta um período letivo para atingir o prazo máximo para conclusão do curso**.;11,55;Risco de jubilamento ocorre quando um estudante está a um período letivo de atingir o prazo máximo para conclusão de seu curso.;2,72;"Considera-se em risco de jubilamento o estudante para o qual falta um período letivo para atingir o prazo máximo para conclusão de seu curso.
";6,62;Considera-se em risco de jubilamento o estudante para o qual falta um período letivo para atingir o prazo máximo para conclusão de seu curso.;2,37;Considera-se em risco de jubilamento o estudante que falta um período letivo para atingir o prazo máximo para conclusão do curso.;2,32;É a situação em que se encontra o estudante que falta um período letivo para atingir o prazo máximo para conclusão do curso.;2,55
O que é o desligamento do curso?;"Entende-se por desligamento do estudante a cessação total dos vínculos do estudante com
o curso.";Entende-se por desligamento do aluno a cessação total dos vínculos do aluno com o curso.;1,43;O desligamento do aluno é a cessação total dos vínculos do aluno com o curso.;7,28;Entende-se por desligamento do aluno a cessação total dos vínculos do aluno com o curso.;1,46;"Entende-se por desligamento do aluno a cessação total dos vínculos do aluno com o curso.
";2,15;a cessação total dos vínculos do aluno com o curso.;1,73;Entende-se por desligamento do aluno a cessação total dos vínculos do aluno com o curso.;2,7;O desligamento do aluno do curso é a cessação total dos vínculos do aluno com o curso.;2,48
Preciso adicionar algum documento para pedir atividades acompanhadas?;O requerimento deverá ser acompanhado de documento(s) comprobatório(s) de que o estudante se enquadra em uma ou mais das condições descritas nos incisos I a III do art. 2º desta Resolução. Em se tratando de estudante, que esteja em situação prevista no in;Sim, o requerimento solicitando Atividades Acompanhadas deve ser acompanhado de documentos comprobatórios que demonstrem que o aluno se enquadra nas condições descritas no artigo 2º da resolução.;1,72;"Sim, é necessário anexar documentos comprovatórios ao pedido de atividades acompanhadas. Conforme especificado:  
- Deve-se apresentar documentos que comprovem que o aluno se enquadra em uma das condições do artigo 2º (§2º).  
- Para casos médicos, anexar laudo ou atestado original com informações específicas (§3º).  
- Para gravidez, anexar atestado médico original (§4º).";12,86;Sim, você precisará adicionar documentos comprobatórios de que se enquadra em uma ou mais das condições descritas no artigo 2º dessa resolução. Além disso, dependendo do seu caso específico, pode ser necessário um laudo ou atestado médico original com informações específicas, como no caso de doença ou gravidez.;2,95;"Sim, o requerimento solicitando Atividades Acompanhadas deverá ser acompanhado de documentos comprobatórios de que o aluno se enquadra em uma ou mais das condições descritas no artigo 2 o dessa resolução. Para alunos enquadrados no item 1 do Artigo 2 o, deverá ser anexado ao requerimento o laudo ou atestado médico original contendo informações específicas. Para alunas em estado de gravidez, também é necessário anexar o atestado médico original.
";2,55;"
Sim, o requerimento solicitando Atividades Acompanhadas deverá ser acompanhado de documentos comprobatórios de que o aluno se enquadra em uma ou mais das condições descritas no artigo 2o dessa resolução. Para os alunos enquadrados no item 1 do Artigo 2o, deverá ser anexado o laudo ou atestado médico original. Para a aluna em estado de gravidez, deverá ser anexado o atestado médico original.";8,36;Sim, o requerimento solicitando Atividades Acompanhadas deverá ser acompanhado de documentos comprobatórios de que o aluno se enquadra em uma ou mais das condições descritas no artigo 2º dessa resolução.;3,57;Sim, é necessário anexar documentos comprobatórios de que você se enquadra em uma ou mais das condições descritas no artigo 2º da resolução. Para alunos enquadrados no item 1 do artigo 2º, deve ser apresentado um laudo ou atestado médico original contendo assinatura do médico, número de inscrição profissional, local e data de expedição, período de afastamento e descrição do motivo que impede a frequência às aulas. Para aluna em estado de gravidez, deverá ser anexado atestado médico original.;4,33
Qual o tempo de duração das atividades acompanhadas?;As atividades acompanhadas serão concedidas pelo prazo mínimo de 5 (cinco) dias e pelo prazo máximo de 45 (quarenta e cinco) dias, a partir da data do protocolo do requerimento no DERAC, exceto para o caso previsto no inciso II do art. 2º desta Resolução,;As atividades acompanhadas terão duração mínima de 5 (cinco) dias e máxima de 45 (quarenta e cinco) dias.;1,63;As Atividades Acompanhadas têm duração mínima de 5 (cinco) dias e máxima de 45 (quarenta e cinco) dias.;9,2;O prazo mínimo é de 5 dias e o prazo máximo é de 45 dias.;2,25;"As Atividades Acompanhadas serão concedidas pelo prazo mínimo de 5 (cinco) dias e pelo prazo máximo de 45 (quarenta e cinco) dias, a contar da data do protocolo do requerimento no Departamento de Registros Acadêmicos, exceto para o caso previsto no item 2 do artigo 2 o, limitado à data máxima para o lançamento final de notas prevista no Calendário Acadêmico.
";2,59;As atividades acompanhadas serão concedidas pelo prazo mínimo de 5 (cinco) dias e pelo prazo máximo de 45 (quarenta e cinco) dias.;2,11;As Atividades Acompanhadas serão concedidas pelo prazo mínimo de 5 (cinco) dias e pelo prazo máximo de 45 (quarenta e cinco) dias.;1,61;As Atividades Acompanhadas serão concedidas pelo prazo mínimo de 5 (cinco) dias e pelo prazo máximo de 45 (quarenta e cinco) dias, a contar da data do protocolo do requerimento no Departamento de Registros Acadêmicos, exceto para o caso previsto no item 2 do artigo 2º, limitado à data máxima para o lançamento final de notas prevista no Calendário Acadêmico.;3,8
